id,policy_type,question_type,question,answer,context,condition,q_rating,a_rating
22748,Financial Incentive,Yes/No,"If I’m a homeowner in North Carolina and I want to lower my utility bills, can I apply for assistance through the Energy Saver North Carolina program?",Yes,"Are you a homeowner or renter in North Carolina? The Energy Saver North Carolina program is here to help! Through the HOMES (Homeowners Managing Efficiency Savings) and HEAR (Home Electrification and Appliance Rebates) programs, eligible residents can receive financial assistance for energy efficiency and electrification upgrades.  ",,9,10
22748,Financial Incentive,Yes/No,"As a homeowner interested in energy efficiency upgrades, do I need to use a contractor registered with the program to qualify for rebates under Energy Saver North Carolina?",Yes,"Ensure work is   
done by   
registered   
contractors to   
qualify for Save with rebates for energy-efficient upgrades.  ",,8,10
22748,Financial Incentive,Yes/No cond,"As a homeowner earning 85% of the area median income (AMI), can I receive a HEAR rebate for replacing my gas stove with an electric one under the Energy Saver North Carolina program?",Yes,"<html><body><table><tr><td>Type of Home Energy Project/Qualified Technology</td><td>Rebate Max Per Product</td><td>Eligible for New Construction</td></tr><tr><td>ENERGY STAR? electric heat pump water heater</td><td>Up to $1,750</td><td>Yes</td></tr><tr><td>ENERGY STAR electric heat pump for space heating</td><td>Up to $8,000</td><td>Yes</td></tr><tr><td>Electrical load service center (electrical panel)</td><td>Up to $4,000</td><td>No</td></tr><tr><td>Electrical wiring</td><td>Up to $2,500</td><td>No</td></tr><tr><td>Insulation, air sealing, ventilation</td><td>Up to $1,600</td><td>No</td></tr><tr><td>ENERGY STAR electric heat pump clothes dryer OR ENERGY STAR electric stove, cooktop, range*</td><td>Up to $840</td><td>Yes</td></tr></table></body></html>  ","[""Your household income must be between 80% and 150% of AMI"", ""The rebate only applies if upgrading from a non-electric appliance""]",9,10
22748,Financial Incentive,Yes/No cond,"If I already have an electric stove and want to upgrade it to a newer electric model, can I get a rebate through the HEAR program under Energy Saver North Carolina?",No,\*Rebates are available only when upgrading from a non-electric appliance.  ,"[""You must be upgrading from a non-electric appliance to qualify""]",10,10
22748,Financial Incentive,Factual,"As a homeowner planning to install a heat pump under the HEAR program in Energy Saver North Carolina, what is the maximum rebate I can receive for an ENERGY STAR electric heat pump for space heating?","Up to $8,000","<tr><td>ENERGY STAR electric heat pump for space heating</td><td>Up to $8,000</td>",,9,10
22748,Financial Incentive,Factual,"As a homeowner living in a single-family home, what types of upgrades qualify for rebates under the Energy Saver North Carolina program","ENERGY STAR equipment, appliances, doors, windows, ventilation fans, insulation, and air sealing","Qualifying   
upgrades include   
ENERGY STAR®   
certified   
equipment,   
appliances, doors, windows,   
ventilation fans,   
insulation, and air sealing. ",,9,8
22748,Financial Incentive,Legal Obligation,"If I want to qualify for HOMES rebates under Energy Saver North Carolina, what contractor requirement must I follow?",You must ensure the work is done by a contractor registered with the Energy Saver North Carolina program.,"Ensure work is   
done by   
registered   
contractors to   
qualify for Save with rebates for energy-efficient upgrades.  ",,9,9
22748,Financial Incentive,Legal Obligation,What are the qualifying upgrades for the Energy Saver North Carolina Program?,"Qualifying upgrades include ENERGY STAR certified equipment, appliances, doors, windows, ventilation fans, insulation, and air sealing.","Qualifying   
upgrades include   
ENERGY STAR®   
certified   
equipment,   
appliances, doors, windows,   
ventilation fans,   
insulation, and air sealing. ",,9,10
22748,Financial Incentive,Descriptive,I am a homeowner in state of North Carolina. What are the rebate programs for my single family under HOMES program?,"For 20%-34% Modeled Energy Savings, up to $16,000 or 100% of project cost for income level less than 80% AMI, up to $2,000 or 50% of project cost for income level 80% AMI to 150% AMI.
For 35% or greater Modeled Energy Savings, Up to $16,000 or 100% of project cost for income level less than 80% AMI, up to $4,000 or 50% of project cost for income level 80% AMI or greater.","<html><body><table><tr><td>Modeled Energy Savings</td><td>Income Level</td><td>Rebate Amount</td></tr><tr><td>Single-family</td><td></td><td></td></tr><tr><td rowspan=""2"">20% -34%</td><td>Less than 80% AMI 80%AMIt0150%AMI</td><td>Up to $16,000 or 100% of project cost</td></tr><tr><td>Less than80%AMI</td><td>Up to $2,000 or 50% of project cost Up to $16,000 or 100% of project cost</td></tr><tr><td rowspan=""2"">35%orgreater Multifamily</td><td>80% AMl or greater</td><td>Up to $4,000 or 50% of project cost</td></tr><tr><td></td><td></td></tr><tr><td>20% -34%</td><td>A building with at least 50% of households with incomes less than 80% AMI</td><td>Up to $16,000 or 100% of project cost</td></tr><tr><td rowspan=""2""></td><td>A building with at least 50% of households with incomes 80% AMl orgreater</td><td>Up to $2,000 per dwelling unit, up to $200,000 per building</td></tr><tr><td>A building with at least 50% of households withincomeslessthan80%AMI</td><td>Up to $16,000 per dwelling unit or 100% of project cost</td></tr><tr><td rowspan=""2"">35% or greater</td><td>A building with at least 50% of households</td><td>Up to $4,0o0 per dwelling unit, up to</td></tr><tr><td>withincomes80%AMlorgreater</td><td>$400,000 per building</td></tr></table></body></html>  ",,9,8
22748,Financial Incentive,Descriptive,What are the rebates for projects under HEAR program in the state of North Carolina?,"100% of project costs up to $14,000 for households with income below 80% AMI and 50% of project costs up to $7,000 for housholds with income between 80% and 150% AMI.","# HEAR (Home Electrification and Appliance Rebates) Program\*  

These rebates support the purchase of energy-efficient appliances and the electrification of home systems, like cooking, laundry, hot water, and heating and cooling.  

<html><body><table><tr><td>Income Eligibility</td><td>Maximum Project Rebate</td></tr><tr><td>Householdsbelow80%AMl</td><td>100% of project costs up to $14,000</td></tr><tr><td>Householdsbetween80%and150%AMl</td><td>50% of project costs up to $7,000</td></tr></table></body></html>  


Higher income households $(>150\%$ AMI) are NOT eligible for this program.  ",,9,8
